Policy.Number,Age,Years.of.Driving.Experience,Number.of.Vehicles,Gender,Married,Vehicle.Age,Fuel Type,Losses
134437,22,5,2,M,Married,14,G,311
102622,21,4,2,M,Single,9,D,753
110532,16,0,2,F,Single,5,D,699
134668,69,51,2,F,Married,13,G,90
144978,59,39,2,M,Married,6,G,401
104417,16,0,2,M,Married,7,D,575
115938,25,8,2,F,Married,12,G,208
118901,70,51,2,M,Single,15,G,381
169057,32,14,2,M,Single,7,G,492
143874,22,4,2,F,Single,12,G,343
135581,63,42,2,F,Married,4,G,73
161671,62,43,2,M,Married,10,G,262
100925,28,7,2,M,Single,2,D,609
184965,20,1,2,M,Married,8,G,380
178842,20,1,2,M,Single,11,D,848
190054,35,17,2,F,Single,2,D,525
191048,68,49,2,M,Married,10,G,291
101075,54,33,2,F,Single,4,D,575
187794,53,35,2,F,Single,6,G,412
126995,60,40,2,M,Single,9,G,260
160282,52,31,2,F,Married,14,G,303
142220,67,50,2,F,Married,4,G,110
138111,19,2,2,F,Single,15,G,445
103723,23,6,2,F,Married,1,D,653
161998,57,37,2,M,Single,14,G,362
144658,20,3,2,F,Single,15,G,216
162930,64,45,2,M,Single,9,G,120
181066,66,45,2,F,Married,8,G,203
103961,43,23,2,F,Single,6,G,351
127224,57,37,2,M,Married,5,G,428
156817,44,27,2,M,Married,11,G,154
131214,65,45,2,M,Married,14,G,145
105028,55,38,2,M,Single,10,G,470
117900,20,1,2,M,Single,12,D,1270
122225,53,35,2,F,Single,8,G,383
136482,23,6,2,M,Single,14,D,565
117634,27,8,2,F,Married,10,G,308
131504,19,1,2,M,Married,12,D,524
150919,70,50,2,F,Single,7,G,158
123646,44,27,2,M,Married,14,G,201
199365,46,25,2,M,Married,9,G,427
166998,30,10,2,F,Single,5,G,377
133332,17,0,2,M,Single,15,G,402
157794,59,41,2,M,Single,2,D,569
197370,68,51,2,M,Married,8,G,306
132302,22,4,2,M,Single,1,D,1736
175946,19,1,2,M,Married,11,G,436
147785,37,20,2,F,Single,15,G,350
138215,49,32,2,F,Married,1,G,462
123478,49,29,2,M,Married,10,G,322
180292,68,48,2,M,Married,1,G,190
135138,63,45,2,M,Married,4,G,367
152831,33,14,2,F,Married,12,G,277
176380,68,48,2,M,Married,10,G,201
163040,70,50,2,F,Single,12,G,169
170763,66,47,2,M,Married,10,G,242
195194,32,11,2,F,Married,8,G,295
150236,69,51,2,F,Married,13,G,136
126561,22,5,2,M,Single,11,D,605
173463,50,29,2,F,Single,8,G,340
196256,22,4,2,M,Single,1,D,1747
103307,61,44,2,F,Single,12,G,55
119471,27,10,2,F,Married,1,D,602
123109,32,13,2,M,Married,9,G,409
140773,62,44,2,F,Single,1,G,293
101981,40,22,2,F,Married,10,G,360
184611,65,44,2,M,Single,3,G,240
188632,21,4,2,M,Single,14,G,321
120708,66,49,2,M,Married,3,D,557
130624,61,43,2,M,Married,8,G,241
109305,41,20,2,F,Married,6,G,346
124619,38,17,2,M,Single,1,D,730
178477,67,48,2,F,Married,14,G,201
129136,49,30,2,F,Married,9,G,372
171878,62,44,2,F,Single,14,G,267
187524,69,51,2,F,Married,2,G,338
153677,57,40,2,M,Married,8,G,371
158932,37,18,2,M,Single,12,G,398
194358,43,24,2,F,Single,7,G,382
131774,19,2,2,M,Married,12,G,269
103946,24,5,2,F,Single,12,G,300
176346,60,40,2,F,Married,13,G,191
172028,25,6,2,M,Married,12,G,333
148191,31,13,2,M,Married,15,G,142
123115,39,19,2,F,Single,5,D,586
134351,18,1,2,F,Single,11,G,439
118532,70,51,2,F,Single,9,G,38
105707,24,5,2,F,Single,13,G,270
166822,67,50,2,M,Single,9,G,69
195120,67,46,2,M,Single,9,G,193
195559,18,0,2,F,Married,13,G,174
133089,52,35,2,F,Married,7,G,318
124139,25,8,2,F,Married,12,G,135
108711,18,0,2,F,Married,11,G,142
165885,16,0,2,M,Married,12,G,454
132755,51,30,2,M,Single,4,D,995
112987,66,45,2,F,Married,5,G,172
178087,21,4,2,M,Single,14,D,519
115039,21,3,2,M,Single,1,D,1667
162557,68,48,2,F,Married,15,G,60
119689,66,45,2,M,Single,7,G,50
107801,20,2,2,M,Single,0,D,1197
154895,60,41,2,M,Married,8,G,199
148897,19,0,2,M,Single,15,G,348
123667,31,10,2,M,Single,10,G,387
172145,28,10,2,M,Single,9,D,518
158277,60,42,2,F,Married,10,G,151
190805,30,9,2,F,Married,9,G,322
110198,44,27,2,M,Married,6,G,338
171329,62,44,2,F,Single,11,G,173
108934,67,47,2,F,Single,10,G,250
103107,59,38,2,F,Married,14,G,251
155508,55,36,2,F,Married,11,G,125
181797,40,21,2,M,Married,2,D,575
124003,20,1,2,F,Married,11,G,197
159368,19,1,2,F,Married,9,G,369
196610,25,8,2,M,Married,15,G,280
167117,48,29,2,F,Married,0,D,701
162820,38,21,2,M,Married,6,G,388
165550,59,38,2,F,Married,10,G,352
128104,33,15,2,F,Married,15,G,292
193153,22,5,2,F,Single,15,D,501
128587,65,45,2,M,Married,10,G,226
114249,53,35,2,M,Single,7,D,578
115806,68,47,2,M,Married,3,G,148
116938,65,46,2,M,Married,14,G,359
109803,23,6,2,F,Single,8,D,503
192865,41,22,2,F,Single,10,G,346
185721,22,5,2,M,Single,14,G,349
190048,50,31,2,M,Single,9,G,453
133918,22,4,2,M,Married,13,G,263
120331,63,45,2,M,Single,8,G,123
101814,18,1,2,F,Single,4,D,855
119594,53,34,2,M,Single,4,D,574
194224,30,11,2,F,Single,0,G,488
125358,45,25,2,F,Single,7,G,419
101507,68,48,2,M,Single,9,G,157
121251,21,3,2,M,Single,14,D,725
118073,65,48,2,F,Single,6,G,218
115175,20,2,2,M,Single,12,D,1046
136481,51,34,2,M,Married,1,D,539
175311,25,8,2,M,Married,3,D,668
192294,66,45,2,M,Single,3,D,579
177520,43,25,2,M,Single,6,G,433
188474,67,46,2,M,Single,10,G,366
171513,27,10,2,F,Single,9,G,418
124582,35,17,2,F,Single,12,G,133
137238,63,44,2,M,Married,7,G,275
138729,23,5,2,F,Single,13,D,628
147003,66,47,2,M,Single,8,G,45
142899,35,16,2,F,Married,10,G,330
157740,25,7,2,F,Married,6,G,474
148101,60,40,2,F,Single,0,G,255
130937,60,40,2,F,Single,9,G,223
190059,28,9,2,F,Single,9,G,402
109020,70,51,2,M,Married,2,G,63
150946,60,43,2,M,Single,12,G,41
118078,70,49,2,M,Single,2,G,58
144393,59,42,2,M,Married,11,G,198
134487,33,15,2,F,Married,3,G,473
186577,19,0,2,M,Single,9,D,1000
174909,36,15,2,M,Married,15,G,189
199647,31,11,2,F,Married,9,G,334
169563,68,50,2,M,Single,4,D,563
198326,54,33,2,M,Single,12,G,164
197914,61,40,2,M,Married,8,G,269
110397,24,6,2,F,Single,6,D,643
140047,29,12,2,F,Married,8,G,340
182490,61,44,2,M,Single,6,G,367
181128,25,6,2,M,Married,11,G,219
162186,48,28,2,F,Single,2,G,495
114960,70,52,2,F,Single,5,D,636
112296,60,43,2,M,Married,1,G,116
106899,22,3,2,M,Married,12,G,231
169500,56,39,2,F,Single,15,G,275
155541,25,6,2,F,Single,13,D,712
130070,64,46,2,M,Married,3,G,169
131283,57,39,2,F,Married,9,G,322
106621,61,40,2,F,Single,0,G,71
151577,58,39,2,M,Married,1,G,349
194352,35,16,2,M,Single,13,G,306
169545,60,39,2,F,Single,3,G,322
136868,67,46,2,F,Married,6,G,72
149671,55,37,2,M,Married,5,D,750
150632,20,2,2,F,Single,12,G,257
134884,65,46,2,F,Single,5,G,109
176789,60,43,2,M,Married,2,G,77
135783,55,36,2,F,Single,9,G,384
183196,25,8,2,F,Married,11,G,281
165218,43,23,2,F,Single,5,G,457
151674,30,13,2,M,Married,9,G,417
110758,19,2,2,M,Married,6,G,384
158417,25,7,2,M,Single,12,D,807
140259,23,6,2,M,Married,9,D,669
130345,60,39,2,M,Single,3,D,590
103318,49,32,2,F,Married,9,G,364
149802,21,3,2,M,Single,15,G,307
178660,63,44,2,M,Married,7,G,82
126741,69,51,2,F,Single,8,G,307
178760,39,21,2,F,Married,10,G,318
193822,60,39,2,F,Single,4,G,218
134962,66,46,2,M,Single,13,G,371
139567,61,44,2,M,Single,13,G,29
145288,65,44,2,M,Married,6,G,266
188014,66,46,2,M,Married,4,G,95
153136,63,45,2,M,Married,6,G,112
187861,54,35,2,M,Single,5,D,755
133864,31,13,2,M,Single,1,D,978
123435,66,45,2,M,Married,12,G,126
179099,23,6,2,F,Single,13,D,593
143671,65,47,2,F,Married,8,G,190
177535,22,5,2,F,Married,12,G,154
130638,60,41,2,F,Single,14,G,39
178879,24,5,2,F,Married,14,G,245
118242,64,44,2,F,Married,9,G,177
163121,50,32,2,F,Single,5,G,483
188409,21,2,2,F,Married,9,D,547
126954,33,14,2,F,Single,5,G,426
195001,65,45,2,F,Single,13,G,25
145717,19,1,2,M,Single,11,D,545
101673,42,25,2,M,Married,8,G,373
136134,27,6,2,M,Married,15,G,147
161826,39,20,2,M,Married,5,D,584
126673,60,41,2,M,Single,11,G,67
141317,66,49,2,F,Married,6,G,35
127339,58,38,2,F,Married,11,G,295
106561,18,0,2,F,Single,15,G,265
152783,19,1,2,M,Married,13,G,365
196670,18,0,2,M,Single,9,D,846
123147,19,1,2,F,Married,15,G,125
141836,43,25,2,F,Single,9,G,380
125643,61,43,2,F,Single,15,G,345
108266,51,34,2,F,Single,12,G,470
164071,22,5,2,F,Married,15,G,329
127009,29,8,2,F,Married,14,G,167
172471,61,42,2,M,Married,15,G,190
111846,42,25,2,F,Single,8,G,456
158126,69,50,2,F,Single,1,G,331
160663,40,23,2,F,Married,3,G,328
111031,19,0,2,F,Single,14,D,510
179621,63,46,2,F,Married,6,G,43
162916,23,4,2,M,Single,11,G,423
164189,37,19,2,F,Single,5,D,565
113940,68,47,2,F,Married,11,G,85
179940,47,26,2,M,Single,10,D,560
163962,69,48,2,M,Single,3,G,192
126963,18,0,2,M,Married,15,G,444
198454,68,49,2,M,Single,13,G,283
184512,46,26,2,M,Married,7,G,340
170008,64,43,2,F,Single,3,G,204
179454,25,6,2,F,Single,14,G,308
127004,42,22,2,F,Single,11,G,287
149780,46,26,2,F,Single,12,G,280
182648,20,1,2,F,Married,13,G,200
163088,23,6,2,F,Single,11,D,531
163882,18,0,2,M,Single,11,G,325
115705,64,43,2,M,Single,15,G,182
148500,22,5,2,F,Single,13,G,209
170877,17,0,2,F,Single,12,G,463
178634,59,38,2,F,Single,6,G,400
144210,46,25,2,M,Married,11,G,126
149671,62,42,2,M,Single,15,G,106
183187,45,28,2,M,Single,15,G,213
123401,22,3,2,F,Single,15,G,483
113975,45,28,2,F,Single,14,G,201
184537,40,19,2,F,Single,7,G,409
188024,49,30,2,M,Single,11,G,296
105890,23,6,2,F,Single,12,G,167
183184,26,8,2,M,Married,7,G,386
186416,63,46,2,M,Single,3,D,509
163995,57,36,2,F,Single,6,G,385
152051,48,28,2,F,Married,10,G,324
153049,62,41,2,F,Married,13,G,105
187860,61,44,2,F,Married,4,G,95
163805,17,0,2,F,Married,2,D,847
186539,56,38,2,F,Single,10,G,358
115094,22,5,2,F,Single,13,D,728
146076,58,37,2,M,Married,5,G,486
121544,44,24,2,M,Single,9,G,411
198434,16,0,2,M,Single,6,D,1228
105356,40,20,2,F,Single,6,G,397
121141,23,5,2,M,Single,15,D,670
197364,29,8,2,F,Married,9,G,357
167978,41,23,2,M,Married,2,G,436
112869,36,16,2,F,Married,8,G,354
173014,16,0,2,F,Married,13,G,204
173531,53,33,2,M,Single,4,D,681
164713,51,33,2,F,Single,10,G,422
175764,19,1,2,M,Married,15,G,334
178465,26,9,2,M,Married,15,G,154
108596,39,18,2,M,Single,12,G,212
111588,55,34,2,M,Married,6,G,343
104094,37,19,2,F,Married,12,G,265
132214,16,0,2,M,Single,6,D,701
142835,54,34,2,M,Married,1,D,709
150870,48,28,2,M,Married,1,D,555
108853,57,38,2,M,Single,13,G,290
106692,68,50,2,F,Single,1,G,386
103762,24,5,2,F,Single,13,D,571
189987,18,0,2,M,Married,8,D,669
112917,70,52,2,M,Married,7,G,154
185133,20,3,2,F,Single,12,D,659
189088,70,52,2,M,Single,2,G,414
128416,20,2,2,M,Single,14,D,509
184363,49,32,2,M,Single,6,G,474
163130,30,13,2,M,Single,6,G,457
161445,68,49,2,M,Single,8,G,62
146987,56,35,2,M,Married,9,G,355
133868,70,50,2,M,Married,0,G,449
128222,68,47,2,M,Married,3,G,347
175994,36,16,2,F,Single,0,G,475
144314,18,1,2,M,Single,15,G,437
126714,39,18,2,F,Single,8,G,395
123293,41,22,2,F,Single,8,G,348
103225,64,45,2,F,Married,13,G,127
111764,52,33,2,F,Married,8,G,302
180062,34,14,2,M,Married,4,G,414
126896,35,14,2,F,Single,5,D,523
193993,44,24,2,M,Married,8,G,360
116954,65,47,2,F,Married,7,G,267
154889,31,11,2,F,Married,9,G,303
124198,23,5,2,F,Married,13,G,244
168558,21,2,2,M,Married,5,D,1050
120050,27,10,2,M,Married,8,G,334
166754,16,0,2,F,Married,13,G,412
107827,36,19,2,M,Single,2,D,636
117822,37,19,2,M,Single,13,G,238
134992,28,9,2,M,Single,14,G,351
187173,17,0,2,F,Single,6,D,701
198788,66,45,2,M,Married,6,G,281
171035,66,48,2,F,Married,11,G,148
196394,43,23,2,M,Single,9,D,521
188467,61,42,2,M,Single,7,G,104
118157,24,6,2,F,Single,11,D,636
187626,41,22,2,M,Married,0,G,449
121461,17,0,2,M,Single,15,D,647
102816,35,17,2,M,Married,7,G,429
104966,65,46,2,M,Single,3,D,762
104169,17,0,2,M,Married,2,D,585
125915,53,36,2,F,Married,14,G,220
118145,67,48,2,M,Married,12,G,203
130710,63,42,2,F,Married,8,G,99
147166,41,21,2,M,Single,14,G,290
129951,52,33,2,M,Married,6,G,379
140500,27,7,2,M,Single,2,G,405
100624,65,46,2,F,Single,14,G,137
152042,43,26,2,F,Single,8,G,326
126348,50,30,2,M,Married,7,G,386
103875,65,47,2,M,Married,4,G,221
106382,34,17,2,F,Married,0,D,554
185932,68,47,2,F,Single,12,G,218
129320,67,46,2,M,Married,1,G,440
142664,16,0,2,M,Married,6,D,645
113196,21,2,2,F,Married,4,G,432
156159,17,0,2,M,Single,10,D,757
112624,67,46,2,F,Married,15,G,141
193102,64,46,2,M,Single,2,G,274
168118,43,22,2,F,Married,8,G,314
158998,27,10,2,M,Married,14,G,220
196424,58,37,2,F,Married,0,D,616
182837,61,40,2,M,Married,13,G,33
156090,23,6,2,F,Single,7,D,870
142548,25,6,2,M,Single,11,G,354
183394,22,5,2,F,Married,11,G,134
106838,23,4,2,M,Married,11,G,388
157151,32,13,2,M,Single,0,D,813
101780,16,0,2,F,Single,3,D,755
148301,28,11,2,F,Single,14,G,263
187293,25,7,2,F,Married,13,G,229
146256,66,47,2,M,Single,14,G,153
165964,43,23,2,M,Single,5,G,480
121734,47,30,2,M,Single,10,G,476
132362,46,27,2,F,Married,5,D,527
195119,51,34,2,F,Married,9,G,334
138642,35,16,2,M,Single,12,G,397
117475,30,10,2,M,Single,1,D,776
103555,21,4,2,M,Married,11,G,243
129555,43,25,2,F,Married,0,D,535
127905,64,46,2,M,Married,5,G,170
197555,21,4,2,M,Single,11,D,594
145755,52,35,2,F,Married,9,G,312
153992,34,16,2,F,Single,6,G,402
191631,66,46,2,F,Single,14,G,59
111536,31,13,2,F,Married,8,G,332
174602,54,37,2,F,Married,6,G,305
138988,16,0,2,F,Married,11,G,181
133262,58,38,2,F,Single,10,G,349
191986,50,33,2,F,Single,4,G,399
104883,30,12,2,F,Single,10,G,488
104633,25,6,2,F,Single,11,D,757
160704,47,27,2,F,Single,14,G,347
143777,31,13,2,F,Married,1,G,489
189595,63,45,2,M,Married,11,G,305
154832,68,47,2,F,Single,13,G,24
196222,22,4,2,F,Married,15,G,260
179247,55,38,2,M,Married,14,G,213
171209,41,22,2,F,Married,15,G,165
119851,17,0,2,F,Single,10,D,531
144803,19,1,2,M,Single,11,D,665
167746,23,5,2,M,Married,14,G,383
165226,57,39,2,F,Married,6,G,320
154597,58,37,2,F,Single,0,D,663
124790,33,16,2,M,Single,15,G,457
148117,55,37,2,M,Single,9,G,455
153922,35,16,2,F,Single,14,G,146
167166,69,51,2,M,Married,9,G,144
174487,60,43,2,M,Married,11,G,308
182686,25,8,2,F,Married,12,G,200
164823,56,39,2,M,Single,10,G,454
116625,22,4,2,F,Married,4,D,663
120268,16,0,2,F,Single,11,G,273
182390,66,47,2,M,Married,9,G,337
126479,68,48,2,F,Single,5,G,95
119576,16,0,2,F,Single,11,G,270
106658,39,20,2,F,Married,3,D,542
124401,16,0,2,F,Married,9,D,523
183217,64,43,2,F,Married,2,G,324
107859,39,20,2,F,Married,12,G,116
194850,16,0,2,F,Married,8,G,308
147067,53,34,2,F,Married,8,G,306
130412,34,15,2,M,Single,7,D,501
140698,61,40,2,F,Married,11,G,167
142739,21,2,2,F,Married,15,G,94
180762,66,47,2,F,Single,11,G,47
118207,34,15,2,F,Single,1,D,742
140842,56,35,2,M,Single,10,G,469
184112,62,45,2,F,Single,10,G,362
134798,25,8,2,M,Single,12,D,761
108996,17,0,2,M,Married,13,D,639
190567,63,45,2,F,Married,12,G,14
147579,40,20,2,F,Married,4,G,406
124703,62,43,2,F,Married,1,G,185
166101,67,47,2,F,Married,11,G,133
142017,33,12,2,F,Single,12,G,190
103192,56,37,2,F,Married,8,G,288
127886,40,23,2,F,Married,9,G,333
111448,21,2,2,F,Single,9,G,361
109181,32,14,2,F,Married,5,D,572
114362,62,44,2,M,Married,7,G,91
160457,63,43,2,M,Single,11,G,104
142018,68,47,2,F,Married,8,G,125
103443,29,11,2,F,Married,5,G,369
102823,55,36,2,F,Married,8,G,351
188245,31,14,2,M,Single,5,G,400
163555,25,8,2,M,Married,10,G,432
131794,49,31,2,F,Single,10,G,460
122067,62,45,2,F,Married,2,G,116
160886,58,41,2,F,Married,2,D,529
140023,50,29,2,M,Single,9,G,411
176050,67,47,2,M,Married,14,G,22
103714,53,35,2,M,Single,8,G,491
154372,35,15,2,M,Married,2,G,404
180045,40,22,2,M,Single,13,G,179
181120,42,21,2,F,Single,7,G,367
147298,64,44,2,F,Single,5,G,425
197293,45,28,2,M,Single,8,G,485
102414,61,40,2,M,Single,5,G,463
161398,24,5,2,F,Married,10,G,299
173146,50,31,2,M,Married,14,G,330
139589,19,2,2,M,Single,11,D,755
145225,45,25,2,M,Married,6,G,390
137825,61,41,2,F,Single,9,G,245
163642,64,47,2,F,Single,0,G,244
102269,19,2,2,F,Married,14,G,240
191297,24,5,2,F,Single,2,D,736
101398,63,45,2,M,Married,0,G,181
122533,24,7,2,F,Married,15,G,255
145768,57,39,2,F,Single,1,D,754
174852,54,33,2,F,Married,5,G,398
176698,16,0,2,M,Married,11,G,243
198759,68,49,2,M,Single,13,G,224
170899,54,36,2,M,Married,15,G,176
108228,45,26,2,F,Single,6,G,381
105243,66,46,2,F,Single,11,G,231
100569,16,0,2,F,Married,12,G,143
152219,68,51,2,F,Single,10,G,222
102898,68,50,2,F,Married,1,G,34
196406,16,0,2,F,Married,13,G,188
112032,64,47,2,M,Single,15,G,38
118391,18,0,2,M,Married,11,D,574
109414,60,40,2,M,Married,0,G,144
107201,29,9,2,F,Single,11,G,309
184731,68,50,2,M,Single,11,G,199
167778,40,20,2,F,Married,12,G,279
178158,18,1,2,F,Married,11,G,329
176817,69,49,2,M,Single,13,G,108
167520,25,6,2,F,Married,13,G,166
173634,50,32,2,F,Married,15,G,137
172354,65,48,2,F,Married,7,G,274
145775,30,12,2,M,Married,11,G,180
147839,38,18,2,F,Single,15,G,245
104692,60,42,2,F,Married,6,G,74
145789,19,1,2,M,Married,13,G,304
175808,40,21,2,M,Married,0,D,566
138680,66,47,2,M,Married,1,G,83
103437,20,1,2,F,Single,14,G,364
156172,18,0,2,F,Single,15,G,377
166918,58,37,2,F,Single,7,G,353
172878,48,28,2,M,Single,11,G,407
113910,64,43,2,M,Single,9,G,215
196280,25,8,2,M,Single,9,D,1055
196923,19,2,2,M,Single,15,D,949
128758,35,15,2,F,Single,9,G,394
151532,65,48,2,F,Married,3,G,281
185848,60,42,2,M,Married,3,G,226
104799,70,52,2,F,Single,3,G,94
171179,19,2,2,M,Married,15,G,392
143149,54,36,2,F,Married,12,G,156
177457,33,16,2,M,Single,13,G,406
125466,40,20,2,M,Single,15,G,433
184028,62,45,2,F,Single,8,G,93
190636,23,4,2,M,Married,11,D,608
101926,52,35,2,F,Single,13,G,330
157762,43,24,2,F,Married,13,G,229
139943,63,43,2,F,Married,3,G,256
101976,20,2,2,F,Married,5,G,408
127647,32,14,2,F,Single,2,G,374
120845,57,36,2,M,Single,2,D,560
166007,69,48,2,F,Married,12,G,153
132233,30,11,2,M,Single,7,G,448
109534,20,3,2,M,Married,8,D,688
122609,24,5,2,M,Single,11,D,988
187667,33,15,2,F,Married,4,G,317
122932,43,26,2,F,Married,6,G,393
165479,68,49,2,M,Single,10,G,464
197570,65,46,2,F,Single,5,G,235
172577,19,1,2,M,Single,12,G,429
149897,20,1,2,F,Married,6,G,479
173443,58,39,2,M,Single,6,G,462
155474,64,44,2,F,Single,10,G,174
160398,40,23,2,F,Married,1,G,395
171467,47,27,2,M,Single,6,G,411
117161,68,48,2,F,Married,2,G,382
180369,66,49,2,M,Single,15,G,175
157058,53,33,2,M,Married,7,G,367
187775,61,44,2,M,Married,4,G,59
135732,17,0,2,M,Married,14,D,513
101138,44,25,2,M,Single,7,G,426
103178,21,3,2,F,Married,8,D,546
128663,16,0,2,M,Married,15,D,692
134680,67,46,2,M,Single,4,G,102
188105,58,39,2,M,Single,13,G,183
155289,37,20,2,M,Married,3,D,554
127128,19,2,2,M,Single,14,G,432
129902,36,18,2,F,Single,10,G,324
142541,33,12,2,M,Single,10,G,440
129142,53,32,2,M,Single,6,G,431
109981,49,30,2,M,Single,12,G,464
196247,18,1,2,M,Single,7,D,941
108018,16,0,2,M,Married,13,G,252
112853,22,4,2,F,Married,10,G,237
116644,60,43,2,F,Single,5,G,74
115825,24,5,2,F,Single,13,G,334
177763,61,41,2,F,Single,11,G,327
150325,21,4,2,M,Single,9,D,640
176589,20,2,2,M,Single,6,D,1060
160967,60,43,2,M,Single,11,G,24
127873,25,7,2,F,Single,14,G,483
110563,45,27,2,F,Married,11,G,163
128589,16,0,2,F,Married,11,G,234
199689,62,44,2,M,Married,14,G,37
104852,65,46,2,F,Married,7,G,218
173656,41,23,2,M,Married,11,G,178
164309,53,32,2,M,Single,4,D,702
134055,24,6,2,M,Single,15,G,474
101379,30,11,2,M,Single,13,G,461
171897,45,25,2,M,Single,11,G,460
197497,34,15,2,M,Married,9,G,375
110664,21,3,2,M,Single,12,D,780
110375,61,44,2,M,Single,0,G,62
198597,23,6,2,F,Single,3,D,977
103612,67,50,2,F,Single,6,G,443
108733,68,47,2,M,Single,5,G,108
159633,69,50,2,M,Married,9,G,304
168453,30,12,2,F,Single,8,G,387
125268,54,35,2,M,Married,8,G,388
167717,24,7,2,F,Married,11,G,371
146215,55,36,2,F,Single,14,G,421
154110,64,43,2,M,Single,6,G,94
144656,45,28,2,M,Single,6,G,463
156610,44,27,2,F,Married,7,G,314
100360,70,50,2,F,Single,2,G,246
109789,53,33,2,M,Single,2,D,1013
148429,44,23,2,M,Single,4,D,836
180162,62,41,2,M,Married,8,G,131
192463,43,23,2,M,Married,1,G,448
135686,16,0,2,F,Married,9,D,522
135024,21,4,2,M,Married,11,G,279
137063,53,32,2,M,Single,4,D,769
117625,23,5,2,F,Single,10,D,629
121180,53,35,2,M,Single,3,D,849
182950,23,5,2,M,Married,7,D,537
194164,56,36,2,F,Single,8,G,410
198494,16,0,2,F,Single,12,G,358
142665,66,45,2,F,Single,7,G,46
151642,29,10,2,M,Married,4,G,477
152528,52,32,2,M,Married,12,G,308
197948,65,44,2,F,Single,13,G,71
195321,40,23,2,F,Married,0,G,454
101155,25,7,2,M,Married,11,G,478
162004,64,43,2,M,Single,7,G,92
180572,66,48,2,F,Married,13,G,157
101794,61,44,2,F,Single,6,G,70
135272,18,0,2,M,Single,6,D,703
172926,66,49,2,F,Single,15,G,87
190152,46,28,2,F,Married,2,D,619
181351,35,18,2,M,Married,14,G,245
136859,19,2,2,F,Single,11,G,381
198959,16,0,2,F,Married,8,G,448
198766,37,20,2,M,Single,12,G,464
149871,25,8,2,F,Single,14,D,507
192220,18,1,2,F,Married,14,G,435
156416,62,41,2,M,Single,0,G,465
151362,25,7,2,F,Single,13,G,308
187383,21,4,2,F,Married,13,G,264
176773,19,0,2,M,Married,14,G,256
167930,44,25,2,M,Married,14,G,237
113493,39,20,2,F,Single,10,G,363
171451,19,0,2,M,Married,12,D,688
116796,23,5,2,M,Married,8,D,533
159888,45,27,2,M,Married,5,G,357
159938,16,0,2,F,Single,11,D,503
105780,40,21,2,F,Married,1,D,686
180840,22,4,2,F,Single,11,G,194
188065,68,49,2,M,Single,0,G,277
112151,67,48,2,F,Single,6,G,78
166347,40,20,2,F,Single,10,G,394
128788,40,23,2,M,Married,7,G,348
104945,42,24,2,F,Married,0,D,619
172080,67,48,2,F,Married,14,G,127
161679,21,4,2,F,Single,13,G,315
114488,63,44,2,F,Married,13,G,28
191212,41,24,2,F,Single,0,D,573
172849,35,16,2,F,Married,12,G,298
172086,63,46,2,F,Married,7,G,40
162488,66,48,2,F,Single,2,G,453
120634,36,19,2,F,Single,14,G,353
131290,67,48,2,M,Single,7,G,180
101429,17,0,2,M,Single,11,D,854
100571,20,2,2,F,Single,14,G,440
168024,60,39,2,F,Married,7,G,110
196564,23,4,2,M,Single,11,D,781
150005,67,50,2,M,Married,7,G,99
171604,51,32,2,M,Married,4,G,405
147340,31,11,2,M,Married,10,G,366
143493,67,50,2,M,Single,6,G,446
138631,69,50,2,M,Married,7,G,291
146620,31,10,2,M,Married,2,D,573
118019,67,50,2,F,Married,4,G,171
132741,48,28,2,F,Married,10,G,325
128378,53,34,2,F,Single,7,G,380
180071,67,47,2,M,Single,6,G,47
184217,23,4,2,F,Single,15,G,419
196893,65,47,2,F,Single,14,G,292
120932,27,8,2,F,Married,9,G,336
192011,63,45,2,F,Single,15,G,36
104587,61,41,2,F,Single,5,G,429
183623,52,32,2,M,Married,4,G,488
179258,55,37,2,F,Single,14,G,405
124286,68,47,2,M,Single,9,G,360
147750,21,2,2,F,Married,9,D,501
198193,16,0,2,F,Married,10,G,455
178997,62,43,2,F,Married,11,G,192
168574,16,0,2,M,Single,10,D,907
139619,58,40,2,F,Single,13,G,394
199766,49,28,2,F,Single,10,G,400
169496,17,0,2,M,Married,12,G,462
183970,44,26,2,F,Single,11,G,187
117445,18,0,2,M,Married,15,G,268
128507,25,7,2,M,Single,12,D,1238
120364,28,7,2,M,Single,3,D,690
160013,67,49,2,F,Married,7,G,65
155521,49,31,2,M,Married,10,G,445
146296,24,7,2,F,Single,8,D,732
123352,64,44,2,F,Married,15,G,35
131655,42,21,2,F,Married,3,G,368
143838,30,10,2,M,Married,10,G,419
181623,37,17,2,F,Married,7,G,314
176019,44,26,2,M,Single,13,G,266
134916,70,49,2,F,Single,7,G,391
142812,23,5,2,F,Married,11,G,168
124865,17,0,2,F,Married,11,G,200
107707,30,9,2,F,Married,7,G,342
187015,18,0,2,F,Single,8,G,371
165695,18,0,2,F,Married,14,G,290
148181,64,44,2,F,Single,7,G,302
167349,24,6,2,M,Single,8,D,726
128784,58,37,2,F,Married,9,G,324
126133,22,3,2,M,Single,15,D,800
188759,18,0,2,F,Single,11,G,433
125842,24,5,2,F,Single,12,G,430
177427,64,46,2,F,Single,10,G,85
118295,68,50,2,M,Married,6,G,94
176831,21,4,2,F,Married,15,G,337
170468,42,23,2,F,Married,2,D,588
194809,70,52,2,M,Married,12,G,36
